Nauru,13049
Palau,21503
British Virgin Islands,30661
St. Martin (French part),31949
San Marino,33203
Gibraltar,34408
Turks and Caicos Islands,34900
Liechtenstein,37666
Monaco,38499
Sint Maarten (Dutch part),40005
Faroe Islands,49117
Marshall Islands,53066
St. Kitts and Nevis,54821
Northern Mariana Islands,55023
American Samoa,55599
Greenland,56186
Cayman Islands,60765
Bermuda,65331
Dominica,73543
Andorra,77281
Isle of Man,83737
Seychelles,94677
Antigua and Barbuda,100963
Virgin Islands (U.S.),102951
Aruba,104822
Tonga,107122
Grenada,107317
St. Vincent and the Grenadines,109643
Kiribati,114395
Curacao,159999
Guam,162896
Channel Islands,164541
St. Lucia,178015
Samoa,195125
Sao Tome and Principe,199910
Vanuatu,270402
New Caledonia,278000
French Polynesia,280208
Barbados,284996
Iceland,334252
Belize,366954
Maldives,417492
Brunei Darussalam,423196
Malta,436947
Cabo Verde,539560
Suriname,558368
Luxembourg,582972
Solomon Islands,599419
Montenegro,622781
Guyana,773303
Comoros,795601
Bhutan,797765
Fiji,898760
Djibouti,942333
Cyprus,1170125
Equatorial Guinea,1221490
Mauritius,1263473
Timor-Leste,1268671
Estonia,1316481
Swaziland,1343098
Trinidad and Tobago,1364962
Bahrain,1425171
Guinea-Bissau,1815698
Kosovo,1816200
Latvia,1960424
Gabon,1979786
Slovenia,2064845
Lesotho,2203821
Botswana,2250260
Namibia,2479713
Qatar,2569804
Lithuania,2872298
Albania,2876101
Jamaica,2881355
Armenia,2924816
Mongolia,3027398
Puerto Rico,3411307
Uruguay,3444006
Bosnia and Herzegovina,3516816
Moldova,3552000
Georgia,3719300
Panama,4034119
Kuwait,4052584
Croatia,4170600
Mauritania,4301018
Oman,4424762
Central African Republic,4594621
Liberia,4613823
New Zealand,4692700
Ireland,4773095
Costa Rica,4857274
Norway,5232929
Slovak Republic,5428704
Finland,5495096
Singapore,5607283
Turkmenistan,5662544
Denmark,5731118
Lebanon,6006668
Kyrgyz Republic,6082700
Nicaragua,6149928
Libya,6293253
El Salvador,6344722
Paraguay,6725308
Lao PDR,6758353
Serbia,7057412
Bulgaria,7127822
Sierra Leone,7396190
Togo,7606374
Papua New Guinea,8084991
Switzerland,8372098
Israel,8547100
Tajikistan,8734951
Austria,8747358
Honduras,9112867
United Arab Emirates,9269612
Jordan,9455802
Belarus,9507120
Azerbaijan,9762274
Hungary,9817958
Sweden,9903122
Portugal,10324611
Burundi,10524117
Czech Republic,10561633
Dominican Republic,10648791
Greece,10746740
Haiti,10847334
Benin,10872298
Bolivia,10887882
Belgium,11348159
Tunisia,11403248
Cuba,11475982
Rwanda,11917508
South Sudan,12230730
Guinea,12395924
Somalia,14317996
Chad,14452543
Senegal,15411614
Cambodia,15762370
Zimbabwe,16150362
Ecuador,16385068
Guatemala,16582469
Zambia,16591390
Netherlands,17018408
Kazakhstan,17797032
Chile,17909754
Mali,17994837
Malawi,18091575
Syrian Arab Republic,18430453
Burkina Faso,18646433
Romania,19705301
Niger,20672987
Sri Lanka,21203000
Cameroon,23439189
Cote d'Ivoire,23695919
Australia,24127159
Madagascar,24894551
Ghana,28206728
Angola,28813463
Mozambique,28829476
Nepal,28982771
Malaysia,31187265
Peru,31773839
Uzbekistan,31848200
Saudi Arabia,32275687
Afghanistan,34656032
Morocco,35276786
Canada,36286425
Iraq,37202572
Poland,37948016
Sudan,39578828
Algeria,40606052
Uganda,41487965
Argentina,43847430
Ukraine,45004645
Spain,46443959
Kenya,48461567
Colombia,48653419
Myanmar,52885223
Tanzania,55572201
South Africa,55908865
Italy,60600590
United Kingdom,65637239
France,66896109
Thailand,68863514
Turkey,79512426
Germany,82667685
Vietnam,92701100
Ethiopia,102403196
Philippines,103320222
Japan,126994511
Mexico,127540423
Russian Federation,144342396
Bangladesh,162951560
Nigeria,185989640
Pakistan,193203476
Brazil,207652865
Indonesia,261115456
United States,323127513
India,1324171354
China,1378665000
